playername,PCA_0,PCA_1,PCA_2,PCA_3
Aaron Cresswell,1.7844078513813673,1.0584540647103446,5.931124128397745,-2.225999046945752
Abdou Diallo,3.01285590082757,-0.05535125312649034,-0.49133150343906407,-0.8337364273350376
Adam Marusic,2.1949817239754887,2.37751275414253,-0.47285394181639856,-1.8793868382357524
Adam Webster,1.8969413267607083,-0.3044891806432626,-0.4458491629669831,0.202925089058895
Adama Soumaoro,-1.6008656734031526,-0.8799106910005139,-0.4086642935187463,0.16529133284350744
Adil Rami,-0.17079513370623814,-1.5567048318018177,1.205514523129348,0.19961047373319368
Aissa Mandi,2.197603742967666,-1.5636874565457946,-0.5442621779719795,0.19147752404926185
Aleksandar Kolarov,5.098620713446596,1.0375780509732841,4.1312731992030765,-0.4893357537522747
Aleksandar Sedlar,-2.4824155424290906,0.20383876241872492,-0.48539790289357077,-1.0359448614367308
Alessandro Bastoni,1.8798540016970202,-0.31224171189995176,0.7797945843569443,-0.5131771240301185
Alessandro Buongiorno,-2.1215622029095553,0.47641096204956834,0.5052113740606375,-0.7618435203657663
Alessio Romagnoli,0.5920269921310768,-1.1577554813416884,0.8838765503339098,0.21280492547649885
Alex Ferrari,-1.6583706617256573,1.4484754496527834,-1.1460924027745165,-0.8444681031759803
Alexander Djiku,-0.6901144086038379,1.375996871134262,-0.6726261693170115,-0.39809006917163664
Alexander Hack,-0.18729018643977127,3.1289654172904333,0.0036731796671827057,0.4316746798796874
Almamy Toure,2.0915574989697308,4.187841909039548,2.6661920654663493,-2.518310251857141
Alvaro Gonzalez,-0.29079329123611086,-2.1097140486365777,0.8257282778865931,-0.3580192864159243
Amir Rrahmani,-1.145797124906874,-0.15506359387818022,0.9338755186244022,-0.1429747241249986
Amos Pieper,-1.5004955206272976,1.2782379130063712,-0.7315776617950015,-0.3212656362471131
Andrea Carboni,-1.4650725863253649,1.386312692879112,0.42954671313877346,-1.3325151488710933
Andrea Masiello,1.0338538821038596,-0.2284630872379446,0.5177296432718707,-0.21743707182518437
Andrea Ranocchia,-0.06928060625854297,-1.4592479711168693,-0.5049881234497835,1.4243721900213429
Andreas Christensen,1.63569399413722,-1.5264902423435467,-0.8281283456938953,-0.6145894079742537
Andrei Girotto,-1.209832981369655,0.8317243653195027,-1.2309394232747723,0.8397599446459726
Andrew Gravillon,-1.3474145812914098,1.522937714457398,0.2619689705699345,-0.5654256371394656
Angelo Ogbonna,-3.7793682026861934,-0.14232172964093037,0.16377972142307506,0.7810249639829784
Anthony Caci,1.1889167792921316,-0.051038504565447514,-0.9977227078062828,-1.0283635943473575
Antonio Barragan,-0.15909687971585826,-0.04809068043952708,0.03983966561262324,-1.1144735710672726
Antonio Raillo,-3.236072431769208,-1.781567651673866,0.28973105184295034,0.04595394822387106
Antonio Rudiger,3.8343375678959406,-1.650057806972053,0.1389347301212843,0.5499606744381258
Ardian Ismajli,-1.0919102912964296,-0.7823725887679163,1.5249440859419838,0.3063235464885335
Aridane Hernandez,-3.945462930844181,-0.5743506748826389,0.6385821651671068,0.43508768892085464
Aritz Elustondo,0.047664632469573864,-1.4354409358110711,0.3645800110038704,1.4052935985476336
Armando Izzo,-0.12018758781210198,1.7573029971102678,0.01122598125965751,0.7684815440979118
Arthur Theate,2.6090632609890108,0.7706606156337429,1.003709487091431,2.663848400100443
Atakan Karazor,0.4941207662195993,-1.6983299511659167,0.16016059926258594,-0.7760819637576594
Axel Disasi,1.4641952959464974,-1.1317604931688816,-0.5374051424505656,0.7578382743009092
Axel Tuanzebe,-1.559701355178998,-0.9621228290886776,-1.497503081655823,-0.349154378421148
Aymeric Laporte,5.7138341967509945,-2.6741630426951195,0.7234412200598823,-0.3821437357056231
Bastian Oczipka,-0.04617726362026924,-0.5458086096917814,2.6423761721812045,-1.4238475116842582
Ben Davies,1.0254995897213244,0.469153464034766,2.8768805584087658,-1.6573816850621412
Ben Gibson,1.0568856424733306,-0.3064567153877187,-1.184890584718287,0.4706162843130573
Ben Godfrey,-1.0854668287404787,-0.26639025639896,-0.4065807788697123,-1.0165656802384324
Ben Mee,-2.9301816845487516,-0.055976015186807566,0.555131070492627,-0.3132203803986417
Ben White,0.35392781639853854,1.042124330434007,0.33753393575596996,-1.3732886937900672
Benjamin Hubner,3.075927797025183,0.8176954439059186,0.9574810093959341,-0.03513322780636384
Benjamin Pavard,0.21163496541107912,-0.7764849749941204,-0.7313227082339302,-0.12628031470797388
Benoit Badiashile,2.825106407055502,-1.574728208529033,0.13460193511708102,-0.10701884699913239
Berat Djimsiti,0.8598945576644724,-0.3344586300860204,1.0128015012286369,-0.5555184437894032
Bosko Sutalo,0.8269304253104338,-0.6458240008702633,1.7383600082301998,-1.2823056124116021
Boubacar Kamara,0.9448419460196552,0.10240670667849486,0.1502388170681466,-0.10257017876023529
Boubakar Kouyate,-3.3194906432295275,2.25378197851667,-1.075661462327202,0.7497473991807387
Bram Nuytinck,-1.6932641078970367,0.3279448081071331,-0.8905426182125045,-0.3667823866577795
Brendan Chardonnet,0.10771386698514551,0.3608915335241926,-0.2004302232122384,1.1805608771637
Bryan Cristante,2.9589666823861602,-0.5019679784274718,-0.3851578992642438,-1.1094980817889069
Caglar Soyuncu,0.8250110983229315,-0.5258809153063813,-1.3671992204720493,-0.08067474185045281
Cala,-4.408067851773038,0.021233417687154057,1.5497687240755593,1.1572967737826436
Calum Chambers,1.1658496079771705,1.1204523591395161,-1.4566244540485007,-0.9260430125629786
Catena,-0.5775735799660467,-0.22968301088936843,2.30138417591806,-0.028060452161547907
Cedric Hountondji,-1.8364650317007698,-1.8381671939110842,-0.7127254095839282,0.07705479422132905
Cesar Azpilicueta,6.343044347654298,1.1789896837842806,1.0902844110086432,-0.8053558523656335
Cheikhou Kouyate,-3.590611726553484,-0.0023980360027460903,0.18877512616747347,-0.2122620135555788
Chema,-3.9894167205765174,-0.575266147584922,1.2768612963467127,0.49765489199647195
Chris Richards,2.6055747329676464,1.589753665193866,1.132551506868485,-0.09636497106248844
Chris Smalling,-1.9586324593738718,0.058230039102732264,0.34764232764097475,1.4986051946846377
Christian Kabasele,-4.015886275634893,0.9236865859054324,0.03004812029824612,-0.20370164117287748
Christoph Zimmermann,-2.878825472836165,-0.010850195208393396,-1.1282632739973142,-0.8912262171152842
Christophe Herelle,-0.08810574204911588,-0.8903280033161027,-0.38108272279690736,-0.3583014898248369
Ciaran Clark,-3.6288108921684827,0.1756830725911934,1.0263682375049545,1.5078273020575885
Clement Lenglet,2.79613233386372,-0.6950454061901205,-0.7109136475804896,0.3679219145224117
Coke,0.09689087847010563,0.26563713240168124,2.3115274693005454,2.616892570155468
Conor Coady,-1.6439347656248107,-2.422482087887888,-0.045662832466399184,-0.3216321979626865
Craig Cathcart,-3.721930218354176,-0.5627133086412072,0.37820039080945944,0.10544572064500017
Craig Dawson,-3.3747809428045463,-0.17688805946981678,0.6347193644808004,0.8190282967328981
Cristian Romero,-0.9849387560614196,3.1436730348566297,0.27713322855566164,0.11597905372015434
Damien Da Silva,-0.345458186375313,-0.5623088946568181,0.2034253013185079,1.0777336431049995
Dan Axel Zagadou,4.225558170838025,-0.6913216406509626,-0.43499769130757293,1.6267066292819239
Dan Burn,0.9049770147281262,0.6495593190302565,0.03796846089021042,-0.302154183430431
Daniel Amartey,1.330071609416359,-0.09939390256413219,-0.1360833812503138,0.22662014240473616
Daniele Rugani,0.2865121176472531,-2.0336707858630367,0.23171151891783393,1.198414048910539
Danilo DAmbrosio,3.373458902634036,1.178115127066343,1.8072324379011115,3.636728005062261
Dante,3.177231692373253,-1.077321240639056,-0.9891295666538702,0.016850032201347696
